search URL:,https://patents.google.com/?q=%28G21B+NOT+G21B3%252f00%29&before=priority:19991231&after=priority:19800101&clustered=true&dups=language&sort=old&oq=%28G21B+NOT+G21B3%252f00%29+before:priority:19991231+after:priority:19800101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
FR-2479897-A1,"Atomic structure modifying appts. for heat generation - uses water saturated air mixed with fuel, and high power laser bear within vitrified chamber ",Houdeville Thierry,Jack Jojon,1980-01-03,1980-01-03,1981-10-09,,https://patents.google.com/patent/FR2479897A1/en,
US-4380855-A,Method for filling hollow shells with gas for use as laser fusion targets ,University Of Rochester,"Harry W. Deckman, Gerald M. Halpern, John G. Dunsmuir",1980-01-18,1980-01-18,1983-04-26,1983-04-26,https://patents.google.com/patent/US4380855A/en,https://patentimages.storage.googleapis.com/2b/df/55/de76d3cfd22f5c/US4380855-drawings-page-2.png
US-4314880-A,Hydrogen permeation resistant barrier ,The United States Department Of America As Represented By The United States Department Of Energy,"Joseph C. McGuire, William F. Brehm",1980-02-08,1980-02-08,1982-02-09,1982-02-09,https://patents.google.com/patent/US4314880A/en,
US-4497767-A,Compression hub with eddy current prevent means ,"Combustion Engineering, Inc.",Albert L. Gaines,1980-02-11,1980-02-11,1985-02-05,1985-02-05,https://patents.google.com/patent/US4497767A/en,https://patentimages.storage.googleapis.com/91/74/bf/0d2e2f44863fec/US4497767-drawings-page-2.png
JP-S56115983-A,Nuclear fusion reactor ,Tokyo Shibaura Electric Co,Kimichika Fukushima,1980-02-19,1980-02-19,1981-09-11,,https://patents.google.com/patent/JPS56115983A/en,
US-4339252-A,Apparatus for producing solid hydrogen ,Carnegie Institution Of Washington,"Peter M. Bell, Ho-Kwang Mao",1980-02-29,1980-02-29,1982-07-13,1982-07-13,https://patents.google.com/patent/US4339252A/en,https://patentimages.storage.googleapis.com/e9/b4/75/7aad6344185413/US4339252-drawings-page-2.png
US-4328070-A,Method for the initiation of fusion reactions for the controlled release of energy ,Winterberg Friedwardt M,Friedwardt M. Winterberg,1980-03-03,1980-03-03,1982-05-04,1982-05-04,https://patents.google.com/patent/US4328070A/en,https://patentimages.storage.googleapis.com/bd/5f/82/8af2e3d6143c84/US4328070-drawings-page-2.png
DE-3011282-A1,"HEAT ABSORBER, ESPECIALLY PLASMA JET ABSORBER AND METHOD FOR THE PRODUCTION THEREOF ","Kernforschungsanlage Juelich, Messerschmitt Boelkow Blohm","Helmut Fraenkle, Johann Dr Hemmerich, Peter Dipl Phys Dr Kupschus",1980-03-24,1980-03-24,1981-10-01,,https://patents.google.com/patent/DE3011282A1/en,
DE-3011282-C2,"Heat absorbers, in particular plasma beam absorbers ","Kernforschungsanlage Juelich Gmbh, 5170 Juelich, Messerschmitt-Boelkow-Blohm Gmbh, 8000 Muenchen","Helmut 8025 Unterhaching Fraenkle, Johann Dr. Hemmerich, Peter Dipl.-Phys. Dr. 5170 Juelich Kupschus",1980-03-24,1980-03-24,1985-08-08,1985-08-08,https://patents.google.com/patent/DE3011282C2/en,
US-4548782-A,"Tokamak plasma heating with intense, pulsed ion beams ",The United States Of America As Represented By The Secretary Of The Navy,"Wallace M. Manheimer, Niels K. Winsor",1980-03-27,1980-03-27,1985-10-22,1985-10-22,https://patents.google.com/patent/US4548782A/en,https://patentimages.storage.googleapis.com/e8/f0/1d/e0e14e70478c4d/US4548782-drawings-page-2.png
NL-8002547-A,Nuclear fusion reactor uses hydrogen bombs - detonated in water-filled underwater spheres to produce pressure driving power generator ,Didymus Van Kempen,,1980-05-01,1980-05-01,1981-12-01,,https://patents.google.com/patent/NL8002547A/en,
US-4328079-A,"Method for pumping impurities, especially noble gases, from hydrogen or mixtures of hydrogen and its isotopes ",The Cyclotron Corporation,Johann Hemmerich,1980-05-02,1980-05-02,1982-05-04,1982-05-04,https://patents.google.com/patent/US4328079A/en,https://patentimages.storage.googleapis.com/56/8f/cd/da2a06809a0c12/US4328079-drawings-page-2.png
US-4315958-A,"Colloidal coating for small three dimensional articles, and particularly for fusion targets having glass shells ",The University Of Rochester,"Dennis G. Peiffer, Harry W. Deckman",1980-06-02,1980-06-02,1982-02-16,1982-02-16,https://patents.google.com/patent/US4315958A/en,https://patentimages.storage.googleapis.com/59/5f/a2/39567953dd3d01/US4315958-drawings-page-2.png
US-4422046-A,Axisymmetric spatial/temporal encoder ,The Perkin-Elmer Corporation,"Peter B. Mumola, Paul R. Yoder, Jr., Raul E. Casas, William M. Grossman",1980-06-23,1980-06-23,1983-12-20,1983-12-20,https://patents.google.com/patent/US4422046A/en,https://patentimages.storage.googleapis.com/a3/e9/1d/182401454d460e/US4422046-drawings-page-2.png
US-4349506-A,Thermomagnetic burn control for magnetic fusion reactor ,The United States Of America As Represented By The United States Department Of Energy,"John M. Rawls, Unto A. Peuron",1980-07-01,1980-07-01,1982-09-14,1982-09-14,https://patents.google.com/patent/US4349506A/en,https://patentimages.storage.googleapis.com/90/60/f5/2ae0f474c041ae/US4349506-drawings-page-2.png
US-4381963-A,Micro fabrication molding process ,The University Of Rochester,"Irving S. Goldstein, Franklin D. Kalk, Harry W. Deckman",1980-07-30,1980-07-30,1983-05-03,1983-05-03,https://patents.google.com/patent/US4381963A/en,https://patentimages.storage.googleapis.com/cb/ab/97/dcf6cbf187483e/US4381963-drawings-page-2.png
JP-S5760806-A,Toroidal field coil ,"Japan Atom Energy Res Inst, Hitachi Ltd, Hitachi Service Eng Co Ltd","Minoru Okubo, Satoshi Nishio, Teruhiro Takizawa, Yoshihide Shizuoka",1980-08-27,1980-08-27,1982-04-13,,https://patents.google.com/patent/JPS5760806A/en,
JP-S6225241-B2,Patent JPS6225241B2 ,"Hitachi Seisakusho Kk, Hitachi Saabisu Enjiniaringu Kk","Minoru Ookubo, Satoshi Nishio, Teruhiro Takizawa, Yoshihide Shizuoka",1980-08-27,1980-08-27,1987-06-02,,https://patents.google.com/patent/JPS6225241B2/en,
US-4428193-A,"Inert gas fuel, fuel preparation apparatus and system for extracting useful work from the fuel ",Papp International Incorporated,Joseph Papp,1980-09-04,1980-09-04,1984-01-31,1984-01-31,https://patents.google.com/patent/US4428193A/en,https://patentimages.storage.googleapis.com/24/ac/79/f0f56ccae435be/US4428193-drawings-page-2.png
JP-S5755800-A,Energy-saving operation for motor-generator ,Toshiba Corp,Yorihiko Takeda,1980-09-18,1980-09-18,1982-04-02,,https://patents.google.com/patent/JPS5755800A/en,
DE-3037242-A1,Hydrogen fusion reactor - operates without heat supply by using ultrasonic fields to orient atomic axes perpendicularly ,Erich 4370 Marl Schulte Berge,Erich 4370 Marl Schulte Berge,1980-10-02,1980-10-02,1982-05-06,,https://patents.google.com/patent/DE3037242A1/en,
US-4327192-A,Method of fabricating nested shells and resulting product ,The United States Of America As Represented By The United States Department Of Energy,"Timothy M. Henderson, Lawrence B. Kool",1980-10-06,1980-10-06,1982-04-27,1982-04-27,https://patents.google.com/patent/US4327192A/en,https://patentimages.storage.googleapis.com/f5/1c/0f/19ea51adcc8852/US4327192-drawings-page-2.png
US-4435354-A,"Method for the release of thermonuclear energy combining impact, magnetic and inertial confinement fusion ",Winterberg Friedwardt,F. Winterberg,1980-10-14,1980-10-14,1984-03-06,1984-03-06,https://patents.google.com/patent/US4435354A/en,https://patentimages.storage.googleapis.com/f9/be/25/cd40bbacc57ac4/US4435354-drawings-page-2.png
DE-3039909-A1,Fusion reaction using thin shell of deuterium-carbon cpd. - generated by implosion acting uniformly on surface ,Wolf Dipl.-Ing. Dr.phil. 5000 Köln Trommsdorff,Wolf Dipl.-Ing. Dr.phil. 5000 Köln Trommsdorff,1980-10-22,1980-10-22,1982-05-06,,https://patents.google.com/patent/DE3039909A1/en,
DE-3039909-C2,Method and device for generating a high-temperature plasma ,Wolf Dipl.-Ing. Dr.phil. 5000 Köln Trommsdorff,Wolf Dipl.-Ing. Dr.phil. 5000 Köln Trommsdorff,1980-10-22,1980-10-22,1985-12-12,1985-12-12,https://patents.google.com/patent/DE3039909C2/en,
US-4381280-A,Method and device for producing nuclear fusion ,The United States Of America As Represented By The Secretary Of The Army,Thomas G. Roberts,1980-10-31,1980-10-31,1983-04-26,1983-04-26,https://patents.google.com/patent/US4381280A/en,https://patentimages.storage.googleapis.com/5d/54/a2/b4eebc66e58140/US4381280-drawings-page-2.png
FR-2494372-A1,"Directed differential with entry and exit reversed - for use in conjunction with internal combustion engines turbines, nuclear reactors etc. ",Wagner Louis Paul,,1980-11-18,1980-11-18,1982-05-21,,https://patents.google.com/patent/FR2494372A1/en,
AU-6655881-A,Controlled thermonuclear fusion power apparatus and method ,International Nuclear Energy Systems Co. Inc.,"Robert William Bussard, Bruno Coppi",1981-01-22,1981-01-22,1981-04-30,,https://patents.google.com/patent/AU6655881A/en,
AU-522908-B2,Controlled thermonuclear fusion power apparatus and method ,International Nuclear Energy Systems Co. Inc.,"Robert William Bussard, Bruno Coppi",1981-01-22,1981-01-22,1982-07-01,1982-07-01,https://patents.google.com/patent/AU522908B2/en,
US-4440714-A,Inertial confinement fusion method producing line source radiation fluence ,The United States Of America As Represented By The United States Department Of Energy,Ronald P. Rose,1981-01-29,1981-01-29,1984-04-03,1984-04-03,https://patents.google.com/patent/US4440714A/en,https://patentimages.storage.googleapis.com/90/0c/72/a78f4ce39db16d/US4440714-drawings-page-2.png
US-4378545-A,Moment free toroidal magnet ,The United States Of America As Represented By The United States Department Of Energy,Peter Bonanos,1981-03-02,1981-03-02,1983-03-29,1983-03-29,https://patents.google.com/patent/US4378545A/en,https://patentimages.storage.googleapis.com/fd/6e/b6/85d39e7ff85538/US4378545-drawings-page-2.png
US-4390567-A,Method of forming graded polymeric coatings or films ,The United States Of America As Represented By The United States Department Of Energy,Raimond Liepins,1981-03-11,1981-03-11,1983-06-28,1983-06-28,https://patents.google.com/patent/US4390567A/en,
GB-2079638-B,Heat absorber ,"Kernforschungsanlage Juelich, Messerschmitt Boelkow Blohm",,1980-03-24,1981-03-16,1983-03-02,1983-03-02,https://patents.google.com/patent/GB2079638B/en,
GB-2079638-A,Heat absorber ,"Kernforschungsanlage Juelich, Messerschmitt Boelkow Blohm",,1980-03-24,1981-03-16,1982-01-27,,https://patents.google.com/patent/GB2079638A/en,
FR-2482278-B1,Patent FR2482278B1 ,Kernforschungsanlage Juelich,,1980-03-24,1981-03-20,1985-03-08,1985-03-08,https://patents.google.com/patent/FR2482278B1/en,
FR-2482278-A1,"HEAT ABSORBER, IN PARTICULAR PLASMA RADIATION ABSORBER AND METHOD FOR THE PRODUCTION THEREOF ",Kernforschungsanlage Juelich,"Johann Hemmerich, Peter Kupschus, Helmut Frankle",1980-03-24,1981-03-20,1981-11-13,,https://patents.google.com/patent/FR2482278A1/en,
CH-655384-A5,"HEAT ABSORBER, ESPECIALLY PLASMA JET ABSORBER. ","Messerschmitt Boelkow Blohm, Kernforschungsanlage Juelich","Johann Dr Hemmerich, Peter Dr Kupschus, Helmut Fraenkle",1980-03-24,1981-03-24,1986-04-15,,https://patents.google.com/patent/CH655384A5/en,
JP-S56150389-A,"Heat absorber, especially plasma radiation absorber, and its manufacture ","Messerschmitt Boelkow Blohm, Kernforschungsanlage Juelich","Hemumeritsuhi Yohan, Kupushiyusu Peeteru, Furenkure Herumuuto",1980-03-24,1981-03-24,1981-11-20,,https://patents.google.com/patent/JPS56150389A/en,
US-4421713-A,"Tokamak plasma heating with intense, pulsed ion beams ",The United States Of America As Represented By The Secretary Of The Navy,"Wallace M. Manheimer, Niels K. Winsor",1981-03-25,1981-03-25,1983-12-20,1983-12-20,https://patents.google.com/patent/US4421713A/en,https://patentimages.storage.googleapis.com/f6/1d/4f/c0bc4d5ab1129d/US4421713-drawings-page-2.png
DE-3113950-A1,Method for generating energy by nuclear fusion ,Reginald Dipl.-Chem. 3000 Hannover Wildenhayn,Reginald Dipl.-Chem. 3000 Hannover Wildenhayn,1981-04-07,1981-04-07,1982-10-21,,https://patents.google.com/patent/DE3113950A1/en,
US-4404255-A,"Colloidal coating for small three dimensional articles, and particularly for fusion targets having glass shells ",The University Of Rochester,"Dennis G. Peiffer, Harry W. Deckman",1980-06-02,1981-04-20,1983-09-13,1983-09-13,https://patents.google.com/patent/US4404255A/en,https://patentimages.storage.googleapis.com/90/bc/93/10b60772afc9d4/US4404255-drawings-page-2.png
US-4430291-A,Packed fluidized bed blanket for fusion reactor ,The United States Of America As Represented By The United States Department Of Energy,John W. H. Chi,1981-05-12,1981-05-12,1984-02-07,1984-02-07,https://patents.google.com/patent/US4430291A/en,https://patentimages.storage.googleapis.com/ea/4d/7d/7c6fba79b24d7b/US4430291-drawings-page-2.png
JP-S57191589-A,Torus type atomic fusion device ,Tokyo Shibaura Electric Co,Yoshio Gomiyou,1981-05-21,1981-05-21,1982-11-25,,https://patents.google.com/patent/JPS57191589A/en,
US-4477958-A,Multishell inertial confinement fusion target ,The United States Of America As Represented By The United States Department Of Energy,"James R. Holland, Robert M. Del Vecchio",1981-06-01,1981-06-01,1984-10-23,1984-10-23,https://patents.google.com/patent/US4477958A/en,https://patentimages.storage.googleapis.com/27/75/b3/9ba681792f7b8a/US4477958-drawings-page-2.png
US-4414176-A,First wall and limiter surfaces for plasma devices ,The United States Of America As Represented By The United States Department Of Energy,"Alan R. Krauss, Dieter M. Gruen",1981-06-01,1981-06-01,1983-11-08,1983-11-08,https://patents.google.com/patent/US4414176A/en,https://patentimages.storage.googleapis.com/aa/61/43/8ba6399e4f1b13/US4414176-drawings-page-2.png
EP-0042571-A1,"Process for conducting and/or converting energy in gaseous, liquid or solid mediums ",Hans Kyburz,Hans Kyburz,1980-06-16,1981-06-15,1981-12-30,,https://patents.google.com/patent/EP0042571A1/en,https://patentimages.storage.googleapis.com/f2/de/c4/82fac52b20da27/imgf0001.png
WO-8103732-A1,"Method for conducting and/or transforming energy within gas,liquid or solid media ",H Kyburz,H Kyburz,1980-06-16,1981-06-15,1981-12-24,,https://patents.google.com/patent/WO1981003732A1/en,
DE-3125970-A1,HEAT SHIELD ,"Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V., 3400 Göttingen",Heinz Ernst 8045 Ismaning Kotzlowski,1981-07-01,1981-07-01,1983-02-10,,https://patents.google.com/patent/DE3125970A1/en,
GB-2080027-A,Laser Particle Generator ,Hughes Technology Ltd,,1980-07-10,1981-07-10,1982-01-27,,https://patents.google.com/patent/GB2080027A/en,
GB-2080027-B,Laser particle generator ,Hughes Technology Pty Ltd,,1980-07-10,1981-07-10,1985-02-27,1985-02-27,https://patents.google.com/patent/GB2080027B/en,
DE-3127796-C2,Device for producing and dispensing a body from a material that has solidified by cooling ,"Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V., 3400 Göttingen","Waldemar 8000 München Amenda, Rudolf Dipl.-Phys. Dr. 8300 Landshut Lang",1981-07-14,1981-07-14,1985-11-14,1985-11-14,https://patents.google.com/patent/DE3127796C2/en,
DE-3127796-A1,"""DEVICE FOR THE PRODUCTION AND CONTROLLED EXHAUST OF BODIES FROM A MATERIAL CONSTRUCTED BY COOLING, IN PARTICULAR HYDROGEN"" ","Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V., 3400 Göttingen","Waldemar 8000 München Amenda, Rudolf Dr. 8300 Landshut Lang",1981-07-14,1981-07-14,1983-02-03,,https://patents.google.com/patent/DE3127796A1/en,
US-4381206-A,Advanced solid reactants for H2 /D2 generation ,The United States Of America As Represented By The Secretary Of The Army,"Louis R. Grant, Joseph E. Flanagan",1981-07-20,1981-07-20,1983-04-26,1983-04-26,https://patents.google.com/patent/US4381206A/en,
JP-S6244630-B2,Patent JPS6244630B2 ,Mitsubishi Electric Corp,"Kazuo Kuno, Daizaburo Osada",1981-07-24,1981-07-24,1987-09-21,,https://patents.google.com/patent/JPS6244630B2/en,
JP-S5818189-A,Supporting device for helical coil ,三菱電機株式会社,"和雄 久野, 長田　大三郎",1981-07-24,1981-07-24,1983-02-02,,https://patents.google.com/patent/JPS5818189A/en,
JP-S5829004-A,Feedback controller ,"Hitachi Ltd, 株式会社日立製作所","Kunio Moriyama, 國夫 森山, Daizo Iba, 射場　大造",1981-08-14,1981-08-14,1983-02-21,,https://patents.google.com/patent/JPS5829004A/en,
ZA-815843-B,"Inert gas thermonuclear fuel,fuel preparation apparatus and system for extracting useful work from the fuel ",Papp Int Inc,Joseph Papp,1980-09-04,1981-08-24,1982-08-25,,https://patents.google.com/patent/ZA815843B/en,
US-4464413-A,Method and apparatus for producing cryogenic targets ,The United States Of America As Represented By The United States Department Of Energy,"James T. Murphy, John R. Miller",1981-08-28,1981-08-28,1984-08-07,1984-08-07,https://patents.google.com/patent/US4464413A/en,https://patentimages.storage.googleapis.com/e7/bc/11/1972685b2705cf/US4464413-drawings-page-2.png
AU-553762-B2,"Inert gas thermonuclear fuel, engine and fuel preparation apparatus ",Papp International Inc.,J. Papp,1980-09-04,1981-08-28,1986-07-24,1986-07-24,https://patents.google.com/patent/AU553762B2/en,
AU-7640581-A,"Inert gas thermonuclear fuel, engine and fuel preparation apparatus ",Papp International Inc.,J. Papp,1980-09-04,1981-08-28,1982-04-08,,https://patents.google.com/patent/AU7640581A/en,
WO-8200855-A1,"Inert gas thermonuclear fuel,engine and fuel preparation apparatus ",Int Inc Papp,"Int Inc Papp, J Papp",1980-09-04,1981-08-28,1982-03-18,,https://patents.google.com/patent/WO1982000855A1/en,
NZ-198216-A,Reciprocating piston engine:fusion reaction of inert gas mixture ,Papp Int Inc,J Papp,1980-09-04,1981-08-31,1985-08-30,,https://patents.google.com/patent/NZ198216A/en,
CA-1185707-A,"Inert gas thermonuclear fuel, fuel preparation apparatus and system for extracting useful work from the fuel ","Joseph Papp, Papp International Incorporated",Joseph Papp,1980-09-04,1981-08-31,1985-04-16,1985-04-16,https://patents.google.com/patent/CA1185707A/en,
