search URL:,https://patents.google.com/?q=%28G21B+NOT+G21B3%252f00%29&before=priority:20091231&after=priority:20000101&clustered=true&dups=language&sort=old
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
GB-2358279-A,Controlled fusion reactor ,Harmander Singh Brar,Harmander Singh Brar,2000-01-07,2000-01-07,2001-07-18,,https://patents.google.com/patent/GB2358279A/en,
GB-0000383-D0,Controlled fusion reactor ,Brar Harmander S,,2000-01-07,2000-01-07,2000-03-01,,https://patents.google.com/patent/GB0000383D0/en,
DE-10002039-A1,"Apparatus for improving the fusion output from hydrogen isotopes, comprises a hollow capacitor in the form of a cylinder, an anode and two cathodes. ","Horst Gentsch, Dietmar Gentsch","Horst Gentsch, Dietmar Gentsch",2000-01-19,2000-01-19,2001-08-09,,https://patents.google.com/patent/DE10002039A1/en,
DE-20003867-U1,Cyclic cross fusion reactor ,Tiedemann Andreas,,2000-03-01,2000-03-01,2000-07-13,,https://patents.google.com/patent/DE20003867U1/en,
US-6752972-B1,Plasma processing method and apparatus ,"Essox Research And Development, Inc.","Michael Fraim, Rick B. Spielman, Robert R. Schiewe",2000-05-10,2000-05-10,2004-06-22,2004-06-22,https://patents.google.com/patent/US6752972B1/en,https://patentimages.storage.googleapis.com/a6/54/af/e4fb970756422f/US06752972-20040622-D00000.png
DE-10038196-A1,"Nuclear fusion reactor unit comprises primary reactor for producing primary plasma, and secondary reactor which is in contact with heat delivery agent ",Max Gangkofner,Max Gangkofner,2000-08-04,2000-08-04,2002-02-21,,https://patents.google.com/patent/DE10038196A1/en,
DE-20022479-U1,Arrangement for a nuclear fusion reactor for energy generation ,Gangkofner Max,,2000-08-04,2000-08-04,2002-02-21,,https://patents.google.com/patent/DE20022479U1/en,
EP-1220583-A1,Cooling screw tubes ,Japan Atomic Energy Research Institute,"Masanori Japan Atomic Energy Res. Ins. Araki, Koichiro Japan Atomic Energy Res. Ins. Ezato, Masato Japan Atomic Energy Res. Institute Akiba, Satoshi Japan Atomic Energy Res. Ins. Suzuki",2000-12-28,2000-12-28,2002-07-03,,https://patents.google.com/patent/EP1220583A1/en,https://patentimages.storage.googleapis.com/03/77/2b/6eb38de0e669c5/00090001.png
US-2002101950-A1,Magnetic system from magnetic cells for fusion process ,Lirtsman Vladimir Moses,Vladimir Lirtsman,2000-08-04,2001-02-26,2002-08-01,,https://patents.google.com/patent/US20020101950A1/en,https://patentimages.storage.googleapis.com/82/e0/fc/e79470f72a7548/US20020101950A1-20020801-D00000.png
US-6593539-B1,Apparatus and methods for controlling charged particles ,"George Miley, Hiromu Momota","George Miley, Hiromu Momota",2000-02-25,2001-02-26,2003-07-15,2003-07-15,https://patents.google.com/patent/US6593539B1/en,https://patentimages.storage.googleapis.com/71/80/de/279aacd2300696/US06593539-20030715-D00000.png
