search URL:,https://patents.google.com/?q=%28G21B+NOT+G21B3%252f00%29&clustered=true&dups=language&sort=old&oq=%28G21B+NOT+G21B3%252f00%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
BE-557274-A,Patent BE557274A ,,,,,,,https://patents.google.com/patent/BE557274A/en,
BE-556954-A,Patent BE556954A ,,,,,,,https://patents.google.com/patent/BE556954A/en,
DE-1068825-B,Patent DE1068825B ,,,1955-08-02,,,,https://patents.google.com/patent/DE1068825B/en,
DE-662036-C,Procedure for the initiation and execution of core processes ,Aeg,"Arno Brasch, Dr Fritz Lange",1934-12-21,1934-12-21,1938-07-02,1938-07-02,https://patents.google.com/patent/DE662036C/en,
GB-458496-A,Process for the synthesis of chemical elements ,Neutron S A,,1935-03-14,1935-03-14,1936-07-08,,https://patents.google.com/patent/GB458496A/en,
GB-459210-A,Process for the production of power by means of nuclear combinations ,Neutron S A,,1935-11-25,1935-11-25,1936-08-17,,https://patents.google.com/patent/GB459210A/en,
GB-508233-A,Method for carrying out nuclear reactions ,Degea Ag Auergesellschaft,,1937-02-09,1938-02-07,1939-06-28,,https://patents.google.com/patent/GB508233A/en,
FR-833409-A,Process for carrying out nuclear reactions ,Degea Ag,,1937-02-09,1938-02-09,1938-10-21,1938-10-21,https://patents.google.com/patent/FR833409A/en,
US-2910414-A,High temperature apparatus ,Research Corp,Jr Lyman Spitzer,1951-07-31,1951-07-31,1959-10-27,1959-10-27,https://patents.google.com/patent/US2910414A/en,https://patentimages.storage.googleapis.com/ef/a6/85/614dc124e626a0/US2910414-drawings-page-1.png
US-3117912-A,Method of producing neutrons ,"Donald H Imhoff, Wesley H Harker","Donald H Imhoff, Wesley H Harker",1954-06-17,1954-06-17,1964-01-14,1964-01-14,https://patents.google.com/patent/US3117912A/en,https://patentimages.storage.googleapis.com/7e/0b/cb/4ac11951673e25/US3117912-drawings-page-1.png
GB-755903-A,Improvements relating to the utilization of the nuclear combustion of hydrogen ,George Frederick Hemens,,1954-08-18,1954-08-18,1956-08-29,,https://patents.google.com/patent/GB755903A/en,
GB-851355-A,Improvements relating to the generation of power by nuclear reactions ,Vickers Electrical Co Ltd,Arthur Watson Aikin,1955-10-06,1955-10-06,1960-10-12,,https://patents.google.com/patent/GB851355A/en,
GB-855859-A,Improvements relating to nuclear reactors ,Vickers Electrical Co Ltd,Arthur Watson Aikin,1956-02-17,1956-02-17,1960-12-07,,https://patents.google.com/patent/GB855859A/en,
DE-1021096-B,Reactor for harnessing nuclear energy ,Sulzer Ag,,1956-03-17,1956-03-31,1957-12-19,,https://patents.google.com/patent/DE1021096B/en,
FR-1192142-A,Improvements in the execution of nuclear reactions ,,Theodore Volochine,1955-08-02,1956-07-28,1959-10-23,1959-10-23,https://patents.google.com/patent/FR1192142A/en,
CH-353093-A,Process for producing a nuclear fusion reaction ,Volochine Theodore,Volochine Theodore,1955-08-02,1956-07-31,1961-03-31,,https://patents.google.com/patent/CH353093A/en,
GB-795596-A,Improvements in carrying out nuclear reactions ,Theodore Volochine,,1955-08-02,1956-08-01,1958-05-28,,https://patents.google.com/patent/GB795596A/en,
GB-855857-A,Improvements relating to thermo nuclear reactors ,British Thomson Houston Co Ltd,Jiri George Linhart,1956-09-21,1956-09-21,1960-12-07,,https://patents.google.com/patent/GB855857A/en,
GB-855858-A,Improvements relating to thermo-nuclear reactors ,British Thomson Houston Co Ltd,Jiri George Linhart,1956-09-21,1956-09-21,1960-12-07,,https://patents.google.com/patent/GB855858A/en,
FR-1164280-A,Process for the release of intranuclear energy without hazardous residues ,Fr De Rech S Atomiques Soc,,1956-11-06,1956-11-06,1958-10-07,1958-10-07,https://patents.google.com/patent/FR1164280A/en,
FR-1168382-A,Process for destroying radioactive residues ,,Louis Verschraeghen,1956-01-27,1957-01-08,1958-12-08,1958-12-08,https://patents.google.com/patent/FR1168382A/en,
DE-1042780-B,Procedure for the destruction of radioactive waste ,Louis Verschraeghen,Louis Verschraeghen,1956-01-27,1957-01-17,1958-11-06,,https://patents.google.com/patent/DE1042780B/en,
GB-830255-A,Improvements in or relating to the production of nuclear power ,Atomic Energy Authority Uk,"Peter Clive Thonemann, Michael John Poole, John David Lawson, John Hobbs Tait",1957-01-18,1957-01-18,1960-03-16,,https://patents.google.com/patent/GB830255A/en,
GB-802971-A,Process for the destruction of radio-active residues ,Louis Verschraeghen,,1956-01-27,1957-01-28,1958-10-15,,https://patents.google.com/patent/GB802971A/en,
GB-850821-A,Method and apparatus for raising a gas to a high temperature ,Lyman Spitzer Jr,,1957-02-04,1957-02-04,1960-10-05,,https://patents.google.com/patent/GB850821A/en,
FR-1171808-A,Improvements relating to the production of energy by nuclear reactions ,Vickers Electrical Co Ltd,,1957-04-19,1957-04-19,1959-01-30,1959-01-30,https://patents.google.com/patent/FR1171808A/en,
CH-352061-A,Process for generating energy by nuclear reaction ,Vickers Electrical Co Ltd,Watson Aikin Arthur,1957-04-29,1957-04-29,1961-02-15,,https://patents.google.com/patent/CH352061A/en,
FR-1174700-A,Improvements relating to nuclear reactors ,Vickers Electrical Co Ltd,,1957-05-09,1957-05-09,1959-03-13,1959-03-13,https://patents.google.com/patent/FR1174700A/en,
CH-355864-A,Nuclear reactor and method of operating the nuclear reactor ,Vickers Electrical Co Ltd,Watson Aikin Arthur,1957-05-22,1957-05-22,1961-07-31,,https://patents.google.com/patent/CH355864A/en,
GB-843614-A,Improvements in or relating to gas discharge apparatus ,Atomic Energy Authority Uk,Philip Alan Davenport,1957-06-19,1957-06-19,1960-08-04,,https://patents.google.com/patent/GB843614A/en,
GB-843615-A,Improvements in or relating to gas discharge apparatus ,Atomic Energy Authority Uk,Peter Clive Thonemann,1957-06-20,1957-06-20,1960-08-04,,https://patents.google.com/patent/GB843615A/en,
GB-908020-A,Improvements in nuclear fusion reactors ,Atomic Energy Authority Uk,Kenneth William Allen,1957-09-02,1957-09-02,1962-10-10,,https://patents.google.com/patent/GB908020A/en,
US-3016341-A,Reactor ,Jr Lyman Spitzer,Jr Lyman Spitzer,1957-10-03,1957-10-03,1962-01-09,1962-01-09,https://patents.google.com/patent/US3016341A/en,https://patentimages.storage.googleapis.com/5b/54/12/5080fd2f7f0f2d/US3016341-drawings-page-1.png
GB-860231-A,Improvements in or relating to gas discharge apparatus ,Atomic Energy Authority Uk,Peter Clive Thonemann,1959-02-07,1957-10-15,1961-02-01,,https://patents.google.com/patent/GB860231A/en,
GB-860232-A,Improvements in or relating to gas discharge apparatus ,Atomic Energy Authority Uk,Peter Clive Thonemann,1957-10-15,1957-10-15,1961-02-01,,https://patents.google.com/patent/GB860232A/en,
US-3002912-A,Reactors ,Jr Lyman Spitzer,Jr Lyman Spitzer,1957-12-24,1957-12-24,1961-10-03,1961-10-03,https://patents.google.com/patent/US3002912A/en,https://patentimages.storage.googleapis.com/7b/a9/a1/fdbd951cd1e323/US3002912-drawings-page-1.png
